"b'18\t  508\n'"
"b'380332\t  113\t  490\n'"
"b'381381\t  107\t  488\n'"
"b'382432\t  109\t  495\n'"
"b'383482\t  107\t  489\n'"
"b'384533\t  109\t  492\n'"
"b'385584\t  108\t  489\n'"
"b'386634\t  107\t  489\n'"
"b'387685\t  108\t  491\n'"
"b'388736\t  110\t  490\n'"
"b'389785\t  101\t  486\n'"
"b'390836\t  108\t  493\n'"
"b'391886\t  112\t  486\n'"
"b'392937\t  109\t  486\n'"
"b'393988\t  100\t  487\n'"
"b'395038\t  106\t  483\n'"
"b'396089\t  110\t  492\n'"
"b'397139\t  108\t  487\n'"
"b'398189\t  112\t  484\n'"
"b'399240\t  105\t  486\n'"
"b'400290\t  103\t  486\n'"
"b'401341\t  115\t  491\n'"
"b'402392\t  104\t  484\n'"
"b'403442\t  107\t  490\n'"
"b'404493\t  110\t  490\n'"
"b'405543\t  108\t  484\n'"
"b'406593\t  108\t  483\n'"
"b'407644\t  105\t  482\n'"
"b'408694\t  109\t  489\n'"
"b'409745\t  101\t  475\n'"
"b'410796\t  107\t  483\n'"
"b'411846\t  106\t  478\n'"
"b'412897\t  102\t  478\n'"
"b'413947\t  106\t  485\n'"
"b'414997\t  106\t  485\n'"
"b'416048\t  106\t  484\n'"
"b'417098\t  107\t  482\n'"
"b'418149\t  105\t  489\n'"
"b'419200\t  107\t  493\n'"
"b'420250\t  108\t  487\n'"
"b'421301\t  101\t  488\n'"
"b'422351\t  103\t  489\n'"
"b'423401\t  107\t  490\n'"
"b'424452\t  111\t  495\n'"
"b'425502\t  108\t  492\n'"
"b'426553\t  110\t  494\n'"
"b'427603\t  104\t  490\n'"
"b'428654\t  108\t  487\n'"
"b'429705\t  106\t  492\n'"
"b'430755\t  112\t  494\n'"
"b'431806\t  109\t  488\n'"
"b'432856\t  103\t  489\n'"
"b'433906\t  101\t  487\n'"
"b'434957\t  111\t  500\n'"
"b'436007\t  107\t  492\n'"
"b'437058\t  108\t  496\n'"
"b'438109\t  108\t  492\n'"
"b'439159\t  108\t  493\n'"
"b'440210\t  107\t  489\n'"
"b'441260\t  104\t  487\n'"
"b'442310\t  107\t  494\n'"
"b'443361\t  105\t  494\n'"
"b'444411\t  105\t  489\n'"
"b'445462\t  109\t  498\n'"
"b'446513\t  110\t  499\n'"
"b'447563\t  108\t  506\n'"
"b'448614\t  105\t  518\n'"
"b'449664\t  109\t  517\n'"
"b'450714\t  108\t  520\n'"
"b'451765\t  111\t  511\n'"
"b'452815\t  110\t  510\n'"
"b'453866\t  113\t  517\n'"
"b'454917\t  112\t  509\n'"
"b'455967\t  107\t  512\n'"
"b'457018\t  108\t  506\n'"
"b'458067\t  109\t  512\n'"
"b'459118\t  109\t  509\n'"
"b'460169\t  110\t  509\n'"
"b'461219\t  111\t  511\n'"
"b'462270\t  107\t  506\n'"
"b'463321\t  111\t  511\n'"
"b'464371\t  112\t  516\n'"
"b'465422\t  108\t  514\n'"
"b'466471\t  112\t  520\n'"
"b'467522\t  106\t  506\n'"
"b'468573\t  117\t  521\n'"
"b'469623\t  107\t  508\n'"
"b'470674\t  111\t  514\n'"
"b'471725\t  108\t  508\n'"
"b'472775\t  113\t  512\n'"
"b'473826\t  114\t  514\n'"
"b'474875\t  107\t  505\n'"
"b'475926\t  110\t  509\n'"
"b'476977\t  107\t  507\n'"
"b'478027\t  111\t  503\n'"
"b'479078\t  111\t  505\n'"
"b'480129\t  111\t  503\n'"
"b'481179\t  111\t  512\n'"
"b'482230\t  113\t  507\n'"
"b'483280\t  114\t  506\n'"
"b'484330\t  116\t  502\n'"
"b'485381\t  114\t  518\n'"
"b'486431\t  112\t  521\n'"
"b'487482\t  109\t  515\n'"
"b'488532\t  113\t  525\n'"
"b'489583\t  114\t  526\n'"
"b'490634\t  116\t  523\n'"
"b'491684\t  109\t  521\n'"
"b'492734\t  111\t  528\n'"
"b'493785\t  109\t  525\n'"
"b'494835\t  116\t  526\n'"
"b'495886\t  118\t  532\n'"
"b'496936\t  116\t  533\n'"
"b'497987\t  112\t  531\n'"
"b'499038\t  117\t  535\n'"
"b'500088\t  110\t  524\n'"
"b'501138\t  117\t  525\n'"
"b'502189\t  116\t  523\n'"
"b'503239\t  113\t  521\n'"
"b'504290\t  108\t  532\n'"
"b'505340\t  114\t  513\n'"
"b'506391\t  115\t  525\n'"
"b'507442\t  109\t  520\n'"
"b'508492\t  111\t  518\n'"
"b'509542\t  115\t  525\n'"
"b'510593\t  113\t  518\n'"
"b'511643\t  115\t  517\n'"
"b'512694\t  114\t  521\n'"
"b'513744\t  111\t  523\n'"
"b'514795\t  112\t  521\n'"
"b'515846\t  114\t  529\n'"
"b'516896\t  117\t  517\n'"
"b'517946\t  115\t  523\n'"
"b'518996\t  115\t  517\n'"
"b'520047\t  115\t  522\n'"
"b'521098\t  114\t  513\n'"
"b'522148\t  112\t  520\n'"
"b'523199\t  116\t  524\n'"
"b'524250\t  115\t  517\n'"
"b'525300\t  113\t  516\n'"
"b'526351\t  113\t  516\n'"
"b'527400\t  116\t  514\n'"
"b'528451\t  112\t  510\n'"
"b'529502\t  115\t  516\n'"
"b'530552\t  119\t  516\n'"
"b'531603\t  115\t  512\n'"
"b'532654\t  112\t  506\n'"
"b'533704\t  112\t  506\n'"
"b'534755\t  119\t  514\n'"
"b'535804\t  114\t  510\n'"
"b'536855\t  111\t  507\n'"
"b'537906\t  116\t  513\n'"
"b'538956\t  118\t  506\n'"
"b'540007\t  113\t  507\n'"
"b'541058\t  113\t  512\n'"
"b'542108\t  112\t  505\n'"
"b'543159\t  118\t  504\n'"
"b'544208\t  111\t  500\n'"
"b'545259\t  110\t  506\n'"
"b'546310\t  111\t  501\n'"
"b'547360\t  115\t  502\n'"
"b'548411\t  112\t  501\n'"
"b'549462\t  107\t  496\n'"
"b'550512\t  114\t  507\n'"
"b'551563\t  110\t  501\n'"
"b'552612\t  109\t  502\n'"
"b'553663\t  111\t  501\n'"
"b'554714\t  114\t  501\n'"
"b'555764\t  116\t  502\n'"
"b'556815\t  116\t  499\n'"
"b'557865\t  115\t  497\n'"
"b'558916\t  114\t  497\n'"
"b'559967\t  113\t  489\n'"
"b'561017\t  109\t  494\n'"
"b'562067\t  111\t  497\n'"
"b'563118\t  110\t  495\n'"
"b'564168\t  115\t  497\n'"
"b'565219\t  110\t  491\n'"
"b'566269\t  115\t  491\n'"
"b'567320\t  113\t  495\n'"
"b'568371\t  116\t  497\n'"
"b'569421\t  109\t  487\n'"
"b'570471\t  110\t  495\n'"
"b'571522\t  110\t  488\n'"
"b'572572\t  109\t  492\n'"
"b'573623\t  108\t  495\n'"
"b'574673\t  108\t  494\n'"
"b'575724\t  109\t  497\n'"
"b'576775\t  108\t  489\n'"
"b'577825\t  114\t  499\n'"
"b'578875\t  113\t  498\n'"
"b'579926\t  104\t  494\n'"
"b'580976\t  113\t  493\n'"
"b'582027\t  109\t  495\n'"
"b'583077\t  108\t  494\n'"
"b'584128\t  112\t  495\n'"
"b'585179\t  106\t  490\n'"
"b'586229\t  111\t  493\n'"
"b'587279\t  108\t  492\n'"
"b'588329\t  114\t  490\n'"
"b'589380\t  108\t  491\n'"
"b'590431\t  105\t  495\n'"
"b'591481\t  110\t  494\n'"
"b'592532\t  116\t  494\n'"
"b'593583\t  112\t  498\n'"
"b'594633\t  113\t  496\n'"
"b'595683\t  110\t  494\n'"
"b'596733\t  105\t  489\n'"
"b'597784\t  110\t  488\n'"
"b'598835\t  113\t  485\n'"
"b'599885\t  106\t  489\n'"
"b'600936\t  110\t  493\n'"
"b'****Baseline values: eCO2: 0x96B1 & TVOC: 0x93CA\r\n'"
"b'Valores seteados\r\n'"
"b'602001\t  109\t  488\n'"
"b'603052\t  106\t  487\n'"
"b'604101\t  110\t  492\n'"
"b'605152\t  109\t  490\n'"
"b'606202\t  110\t  485\n'"
"b'607253\t  105\t  484\n'"
"b'608304\t  111\t  495\n'"
"b'609354\t  112\t  491\n'"
"b'610405\t  108\t  488\n'"
"b'611456\t  113\t  494\n'"
"b'612505\t  113\t  490\n'"
"b'613556\t  109\t  489\n'"
"b'614606\t  108\t  493\n'"
"b'615657\t  110\t  488\n'"
"b'616708\t  111\t  494\n'"
"b'617758\t  107\t  487\n'"
"b'618809\t  116\t  488\n'"
"b'619859\t  109\t  484\n'"
"b'620909\t  107\t  489\n'"
"b'621960\t  108\t  490\n'"
"b'623010\t  107\t  486\n'"
"b'624061\t  110\t  489\n'"
"b'625112\t  107\t  485\n'"
"b'626162\t  113\t  489\n'"
"b'627213\t  108\t  484\n'"
"b'628263\t  106\t  485\n'"
"b'629313\t  107\t  476\n'"
"b'630364\t  107\t  491\n'"
"b'631414\t  110\t  486\n'"
"b'632465\t  102\t  491\n'"
"b'633516\t  102\t  481\n'"
"b'634566\t  106\t  487\n'"
"b'635617\t  110\t  486\n'"
"b'636667\t  106\t  483\n'"
"b'637717\t  111\t  480\n'"
"b'638768\t  114\t  494\n'"
"b'639818\t  106\t  484\n'"
"b'640869\t  109\t  478\n'"
"b'641920\t  107\t  483\n'"
"b'642970\t  109\t  484\n'"
"b'644021\t  109\t  479\n'"
"b'645071\t  111\t  486\n'"
"b'646121\t  106\t  477\n'"
"b'647172\t  109\t  486\n'"
"b'648222\t  109\t  481\n'"
"b'649273\t  110\t  488\n'"
"b'650323\t  104\t  477\n'"
"b'651374\t  110\t  485\n'"
"b'652425\t  113\t  487\n'"
"b'653475\t  108\t  481\n'"
"b'654525\t  106\t  483\n'"
"b'655576\t  111\t  488\n'"
"b'656626\t  108\t  484\n'"
"b'657677\t  109\t  486\n'"
"b'658727\t  105\t  481\n'"
